Name,RA,DEC,16cm,4cm,15mm,7mm,3mm
0000-177,00:03:21.9969,-17:27:11.781,1.554,0.576,0.380,0.004,0.052
0002-478,00:04:35.65552232,-47:36:19.6035044,0.304,0.415,0.426,0.330,0.687
0003-066,00:06:13.892894,-06:23:35.335300,1.941,3.445,2.493,5.717,3.913
0003-003,00:06:22.6338,-00:04:24.086,2.799,1.271,0.445,0.147,0.048
0006+061,00:09:03.9327,06:28:21.238,0.131,0.208,0.245,0.194,0.203
0008-421,00:10:52.520,-41:53:10.79,3.217,1.125,0.193,0.052,0.006
0008-264,00:11:01.246752,-26:12:33.377130,0.422,0.537,0.852,0.425,0.276
0009+081,00:11:35.269651,08:23:55.587470,0.559,0.472,0.257,0.342,0.113
J0011-8443,00:11:45.90267,-84:43:20.0096,0.218,0.164,0.117,0.087,0.068
0010-401,00:12:59.90986,-39:54:26.0553,0.473,0.703,0.389,0.361,0.301
0013-005,00:16:11.088554,-00:15:12.445280,0.868,0.704,0.423,0.316,0.162
0016-129,00:18:51.4001,-12:42:33.214,1.512,0.570,0.152,0.050,0.030
0019-000,00:22:25.425930,00:14:56.161440,1.853,1.026,0.308,0.127,0.025
0019+058,00:22:32.441226,06:08:04.268930,0.219,0.492,0.512,0.262,0.239
0022-423,00:24:42.990,-42:02:03.95,3.178,1.677,0.359,0.148,0.013
0023-263,00:25:49.15625,-26:02:12.6168,6.778,3.276,1.014,0.496,0.189
J0026-3512,00:26:16.388,-35:12:48.45,0.031,0.175,0.852,0.536,0.254
0024+092,00:27:05.7947,09:29:57.752,0.300,0.233,0.189,0.089,0.061
J0028-7045,00:28:41.56281,-70:45:15.9267,0.082,0.084,0.105,0.047,0.073
0027+056,00:29:45.8964,05:54:40.695,0.264,0.472,0.567,0.400,0.211
0027-426,00:30:17.49264,-42:24:46.4827,0.377,0.393,0.497,0.362,0.424
J0033-4236,00:33:47.94145,-42:36:14.0676,0.167,0.208,0.166,0.114,0.042
J0034-4116,00:34:04.40893,-41:16:19.4729,0.333,0.249,0.200,0.154,0.068
0032-203,00:35:08.7836,-20:03:59.664,1.248,0.418,0.094,0.015,0.007
0036-216,00:38:29.954721,-21:20:04.022270,0.691,0.374,0.146,0.073,0.016
0037-593,00:40:07.848794,-59:03:52.76516,0.701,0.514,0.245,0.134,0.015
0037+011,00:40:13.5252,01:25:46.303,0.102,0.135,0.225,0.242,0.260
J0040-4253,00:40:32.51473,-42:53:11.3916,0.185,0.151,0.095,0.095,0.017
0038-020,00:40:57.611582,-01:46:32.025620,0.570,0.653,0.614,0.468,0.442
J0042-4030,00:42:01.22481,-40:30:39.7419,0.215,0.195,0.118,0.076,0.011
0039-445,00:42:09.4222,-44:14:15.581,0.280,0.217,0.116,0.076,0.002
