S Counts ErrUp ErrDown
4.95669 2.2633 0.1979 0.3740
4.34764 2.1730 0.0717 0.0860
3.89944 2.1432 0.0752 0.0910
3.70629 2.3021 0.0687 0.0817
3.55328 2.3141 0.0678 0.0804
3.455 2.3832 0.0630 0.0737
3.35449 2.4809 0.0406 0.0448
2.93247 2.5525 0.0450 0.0502
2.79588 2.5171 0.0501 0.0566
3.40892 2.4417 0.0549 0.0629
3.20085 2.4628 0.0478 0.0537
3.03981 2.5360 0.0342 0.0371
2.92065 2.5326 0.0283 0.0302
2.76193 2.5555 0.0210 0.0221
2.60423 2.5165 0.0169 0.0176
2.4456 2.4747 0.0135 0.0139
3.09934 2.5676 0.0540 0.0617
2.71767 2.5337 0.0455 0.0508
2.49415 2.4936 0.0359 0.0391
2.29667 2.4838 0.0268 0.0286
3.09795 2.5011 0.0438 0.0487
2.71349 2.5360 0.0339 0.0367
2.48714 2.4760 0.0268 0.0286
2.31175 2.4477 0.0247 0.0262
2.18469 2.4400 0.0229 0.0242
1.7881 2.1979 0.0997 0.1297
1.37493 1.8293 0.0764 0.0928
0.961658 1.6618 0.0501 0.0566
0.548144 1.2341 0.0645 0.0758
2.52737 2.4438 0.0764 0.0928
2.30535 2.4049 0.0778 0.0948
2.15534 2.3896 0.0616 0.0719
2.00432 2.3513 0.0515 0.0585
1.85333 2.2347 0.0466 0.0522
1.70286 2.1425 0.0426 0.0473
1.55267 2.0748 0.0384 0.0421
1.40157 2.0529 0.0343 0.0373
1.25115 1.8681 0.0369 0.0404
1.10106 1.7672 0.0390 0.0429
0.950851 1.6618 0.0481 0.0541
0.78746 1.3016 0.0876 0.1099
2.11394 2.4148 0.0580 0.0669
1.83315 2.2426 0.0559 0.0642
1.62428 2.1238 0.0569 0.0655
1.33244 1.9331 0.0314 0.0338
1.04139 1.7501 0.0527 0.0600
1.45179 1.9857 0.0857 0.1069
1.07918 1.7536 0.0778 0.0948
0.778874 1.4241 0.0807 0.0992
0.32838 1.1515 0.0678 0.0804
1.99564 2.3376 0.1063 0.1411
